scenario_id,pair,raw_column_x,raw_column_y,sample_size,spearman_rho,spearman_p_value,kendall_tau,status,reason,var_x,var_y,unique_count_x,unique_count_y,missing_value_handling,tie_handling,verification_status
S1,DHI_A vs DHI_B,dhi_a,dhi_b,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,7.703719777548943e-34,7.703719777548943e-34,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S1,DHI_A vs DHI_C,dhi_a,dhi_c,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,7.703719777548943e-34,1.7333369499485123e-33,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S1,DHI_A vs DHI_D,dhi_a,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,7.703719777548943e-34,3.0814879110195774e-33,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S1,DHI_B vs DHI_C,dhi_b,dhi_c,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,7.703719777548943e-34,1.7333369499485123e-33,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S1,DHI_B vs DHI_D,dhi_b,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,7.703719777548943e-34,3.0814879110195774e-33,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S1,DHI_C vs DHI_D,dhi_c,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,1.7333369499485123e-33,3.0814879110195774e-33,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S2,DHI_A vs DHI_B,dhi_a,dhi_b,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,3.0814879110195774e-33,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S2,DHI_A vs DHI_C,dhi_a,dhi_c,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,1.232595164407831e-32,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S2,DHI_A vs DHI_D,dhi_a,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,1.232595164407831e-32,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S2,DHI_B vs DHI_C,dhi_b,dhi_c,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,3.0814879110195774e-33,1.232595164407831e-32,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S2,DHI_B vs DHI_D,dhi_b,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,3.0814879110195774e-33,1.232595164407831e-32,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S2,DHI_C vs DHI_D,dhi_c,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,1.232595164407831e-32,1.232595164407831e-32,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S3,DHI_A vs DHI_B,dhi_a,dhi_b,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,3.0814879110195774e-33,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S3,DHI_A vs DHI_C,dhi_a,dhi_c,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,3.0814879110195774e-33,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S3,DHI_A vs DHI_D,dhi_a,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,0.0,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S3,DHI_B vs DHI_C,dhi_b,dhi_c,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,3.0814879110195774e-33,3.0814879110195774e-33,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S3,DHI_B vs DHI_D,dhi_b,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,3.0814879110195774e-33,0.0,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S3,DHI_C vs DHI_D,dhi_c,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,3.0814879110195774e-33,0.0,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S4,DHI_A vs DHI_B,dhi_a,dhi_b,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,4.930380657631324e-32,1.232595164407831e-32,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S4,DHI_A vs DHI_C,dhi_a,dhi_c,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,4.930380657631324e-32,1.232595164407831e-32,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S4,DHI_A vs DHI_D,dhi_a,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,4.930380657631324e-32,1.232595164407831e-32,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S4,DHI_B vs DHI_C,dhi_b,dhi_c,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,1.232595164407831e-32,1.232595164407831e-32,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S4,DHI_B vs DHI_D,dhi_b,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,1.232595164407831e-32,1.232595164407831e-32,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S4,DHI_C vs DHI_D,dhi_c,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,1.232595164407831e-32,1.232595164407831e-32,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S5,DHI_A vs DHI_B,dhi_a,dhi_b,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,0.0,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S5,DHI_A vs DHI_C,dhi_a,dhi_c,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,4.930380657631324e-32,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S5,DHI_A vs DHI_D,dhi_a,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,1.1093356479670479e-31,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S5,DHI_B vs DHI_C,dhi_b,dhi_c,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,4.930380657631324e-32,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S5,DHI_B vs DHI_D,dhi_b,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,0.0,1.1093356479670479e-31,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
S5,DHI_C vs DHI_D,dhi_c,dhi_d,158,,,,UNDEFINED_ZERO_VARIANCE,CONSTANT_INPUT_VECTOR,4.930380657631324e-32,1.1093356479670479e-31,1,1,NONE_ZERO_MISSING,AVERAGE_RANK,VERIFIED_UNDEFINED_ZERO_VARIANCE
