scenario_id,variable_name,literal_value,unit,exact_tracked_source_path,exact_symbol,source_commit,literal_source_value,derivation_formula,derivation_operands,accumulation_window,percentile_basis,scientific_classification,verification_status
S0,R24,0.0,mm,scripts/phase_5_rainfall_hazard_pipeline.py,r24_mm = 0.0,16ec09fd67186e6a1b90a2f4de86cf10e9f0ecdd,0.0,R24_val = r24_mm = 0.0,Explicit Zero Constant,Zero Baseline Control,N/A (Dry Control Zero Baseline),Dry Control Zero Baseline,VERIFIED_EXACT
S0,R72,0.0,mm,scripts/phase_5_rainfall_hazard_pipeline.py,r72_mm = 0.0,16ec09fd67186e6a1b90a2f4de86cf10e9f0ecdd,0.0,R72_val = r72_mm = 0.0,Explicit Zero Constant,Zero Baseline Control,N/A (Dry Control Zero Baseline),Dry Control Zero Baseline,VERIFIED_EXACT
S0,API7,0.0,mm,scripts/phase_5_rainfall_hazard_pipeline.py,api7_mm = 0.0,16ec09fd67186e6a1b90a2f4de86cf10e9f0ecdd,0.0,API7_val = api7_mm = 0.0,Explicit Zero Constant,Zero Baseline Control,N/A (Dry Control Zero Baseline),Dry Control Zero Baseline,VERIFIED_EXACT
S1,R24,25.0,mm,data/processed/rainfall/nh44_rainfall_climatology_percentiles.parquet,p50_24h_mm,16ec09fd67186e6a1b90a2f4de86cf10e9f0ecdd,25.0,R24_val = p50_24h_mm,July GPM Grid July Monsoon P50,24h July Monsoon,July Monsoon P50,Climatology-Derived Empirical Percentile,VERIFIED_EXACT
S1,R72,45.0,mm,scripts/phase_5_rainfall_hazard_pipeline.py,S1_MODERATE['r72_mm'],16ec09fd67186e6a1b90a2f4de86cf10e9f0ecdd,45.0,R72_val = S1_MODERATE['r72_mm'],July R72 Monsoon Baseline Parameter,72h July Monsoon,NONE (Repository-Defined Parameter),Repository-Defined Climatology Scenario Parameter,VERIFIED_REPOSITORY_DEFINED
S1,API7,15.0,mm,scripts/phase_5_rainfall_hazard_pipeline.py,S1_MODERATE['api7_mm'],16ec09fd67186e6a1b90a2f4de86cf10e9f0ecdd,15.0,API7_val = S1_MODERATE['api7_mm'],July API7 Monsoon Baseline Parameter,7-day Antecedent Index,NONE (Repository-Defined Parameter),Repository-Defined Climatology Scenario Parameter,VERIFIED_REPOSITORY_DEFINED
S2,R24,75.0,mm,data/processed/rainfall/nh44_rainfall_climatology_percentiles.parquet,p90_24h_mm,16ec09fd67186e6a1b90a2f4de86cf10e9f0ecdd,75.0,R24_val = p90_24h_mm,July GPM Grid July Monsoon P90,24h July Monsoon,July Monsoon P90,Climatology-Derived Empirical Percentile,VERIFIED_EXACT
S2,R72,110.0,mm,data/processed/rainfall/nh44_rainfall_climatology_percentiles.parquet,p90_72h_mm,16ec09fd67186e6a1b90a2f4de86cf10e9f0ecdd,110.0,R72_val = p90_72h_mm,July GPM Grid July Monsoon P90,72h July Monsoon,July Monsoon P90,Climatology-Derived Empirical Percentile,VERIFIED_EXACT
S2,API7,35.0,mm,data/processed/rainfall/nh44_rainfall_climatology_percentiles.parquet,p90_api7_mm,16ec09fd67186e6a1b90a2f4de86cf10e9f0ecdd,35.0,API7_val = p90_api7_mm,July GPM Grid July Monsoon P90,7-day Antecedent Index,July Monsoon P90,Climatology-Derived Empirical Percentile,VERIFIED_EXACT
S3,R24,90.0,mm,data/processed/rainfall/nh44_rainfall_climatology_percentiles.parquet,p95_24h_mm,16ec09fd67186e6a1b90a2f4de86cf10e9f0ecdd,90.0,R24_val = p95_24h_mm,July GPM Grid July Monsoon P95,24h July Monsoon,July Monsoon P95,Climatology-Derived Empirical Percentile,VERIFIED_EXACT
S3,R72,150.0,mm,scripts/phase_5_rainfall_hazard_pipeline.py,S3_PROLONGED['r72_mm'],16ec09fd67186e6a1b90a2f4de86cf10e9f0ecdd,150.0,R72_val = S3_PROLONGED['r72_mm'],July R72 Monsoon Baseline Parameter,72h July Monsoon,NONE (Repository-Defined Parameter),Repository-Defined Climatology Scenario Parameter,VERIFIED_REPOSITORY_DEFINED
S3,API7,55.0,mm,scripts/phase_5_rainfall_hazard_pipeline.py,S3_PROLONGED['api7_mm'],16ec09fd67186e6a1b90a2f4de86cf10e9f0ecdd,55.0,API7_val = S3_PROLONGED['api7_mm'],July API7 Monsoon Baseline Parameter,7-day Antecedent Index,NONE (Repository-Defined Parameter),Repository-Defined Climatology Scenario Parameter,VERIFIED_REPOSITORY_DEFINED
